name,playcount,listeners,mbid,url,streamable,tags
Duffy,23707076,1606716,da4f7583-bb31-49d2-9364-4bdf8bfb351c,https://www.last.fm/music/Duffy,0,"soul, female vocalists, british"
Billy Talent,80096745,1606513,fd429857-5ace-4609-ae54-1502c3bdac11,https://www.last.fm/music/Billy+Talent,0,"punk rock, seen live, rock"
Razorlight,25604728,1604664,f2cb0435-d643-4fab-9587-fdb0279330a7,https://www.last.fm/music/Razorlight,0,"indie, indie rock, seen live"
Shaggy,13440269,1579878,fc63d806-ca89-4ea3-a404-ee6de695743f,https://www.last.fm/music/Shaggy,0,"reggae, dancehall, Hip-Hop"
Sarah McLachlan,24944082,1576193,ce58d854-7430-4231-aa44-97f0144b3372,https://www.last.fm/music/Sarah+McLachlan,0,"female vocalists, singer-songwriter, pop"
Beirut,87055238,1575721,989276c4-d2e8-4599-a2a0-c9ebeba73104,https://www.last.fm/music/Beirut,0,"folk, indie, indie folk"
P.O.D.,33595413,1571828,b3b81e34-2bfa-4d3c-be35-8a528f06fcd0,https://www.last.fm/music/P.O.D.,0,"Nu Metal, rapcore, rock"
Brenda Lee,10790150,1567681,6ca4886a-8f77-4133-b404-46fb3908e24a,https://www.last.fm/music/Brenda+Lee,0,"oldies, 60s, female vocalists"
The Raconteurs,36817312,1567549,be407b02-f3e6-4ed5-9489-f8e5f0ab36dc,https://www.last.fm/music/The+Raconteurs,0,"rock, alternative rock, alternative"
Groove Armada,27928535,1564465,35723b60-732e-4bd8-957f-320b416e7b7f,https://www.last.fm/music/Groove+Armada,0,"electronic, chillout, House"
The Libertines,49831866,1562602,e6e64ac4-9233-4bb6-92f3-1392f8b018f3,https://www.last.fm/music/The+Libertines,0,"indie, indie rock, british"
Tegan and Sara,87969895,1553526,d13f0f47-36f9-4661-87fe-2de56f45c649,https://www.last.fm/music/Tegan+and+Sara,0,"indie, female vocalists, Canadian"
Faithless,29086195,1546281,23d9d74d-c95e-46a6-be26-a6075c49747a,https://www.last.fm/music/Faithless,0,"electronic, trip-hop, dance"
Coolio,11621067,1538850,cc30e630-8c75-4d78-b205-8e2edc6bdaa7,https://www.last.fm/music/Coolio,0,"rap, Hip-Hop, hip hop"
Dave Matthews Band,51844399,1537517,07e748f1-075e-428d-85dc-ce3be434e906,https://www.last.fm/music/Dave+Matthews+Band,0,"rock, alternative, Jam"
Kings of Convenience,62856560,1529106,cf0f4547-ffbd-4011-98ad-0bec9ba022db,https://www.last.fm/music/Kings+of+Convenience,0,"indie, acoustic, norwegian"
The Knife,63128370,1516912,cf16d0a3-9d9c-44d4-b610-f0baccc27912,https://www.last.fm/music/The+Knife,0,"electronic, synthpop, swedish"
*NSYNC,21038512,1513651,603ba565-3967-4be1-931e-9cb945394e86,https://www.last.fm/music/%2ANSYNC,0,"pop, boybands, 90s"
Mogwai,78645326,1509612,d700b3f5-45af-4d02-95ed-57d301bda93e,https://www.last.fm/music/Mogwai,0,"post-rock, instrumental, seen live"
OK Go,28571409,1507494,e132d370-2a59-4437-8610-756df28a5a02,https://www.last.fm/music/OK+Go,0,"indie, indie rock, rock"
Sex Pistols,27987135,1497478,e5db18cb-4b1f-496d-a308-548b611090d3,https://www.last.fm/music/Sex+Pistols,0,"punk, punk rock, british"
Tori Amos,68425468,1489968,c0b2500e-0cef-4130-869d-732b23ed9df5,https://www.last.fm/music/Tori+Amos,0,"female vocalists, singer-songwriter, alternative"
Robin Thicke,16759141,1487158,ddfd9b2f-186e-4b2c-ad09-01aa5380c225,https://www.last.fm/music/Robin+Thicke,0,"soul, rnb, pop"
Morcheeba,44205900,1473271,067102ea-9519-4622-9077-57ca4164cfbb,https://www.last.fm/music/Morcheeba,0,"trip-hop, chillout, electronic"
Bush,26520954,1471895,d5319d7c-7c20-430e-acef-2718aaa90554,https://www.last.fm/music/Bush,0,"Grunge, rock, alternative rock"
Andrew Bird,56693319,1471776,081b133e-ce74-42ba-92c1-c18234acb532,https://www.last.fm/music/Andrew+Bird,0,"indie, singer-songwriter, folk"
Sam Cooke,23343124,1470473,6c8fd0be-d961-454c-aee0-4366a6dbc993,https://www.last.fm/music/Sam+Cooke,0,"soul, rhythm and blues, oldies"
Tony Bennett,14391267,1460259,8be0594f-8c13-46bb-ab06-f93ffba5c776,https://www.last.fm/music/Tony+Bennett,0,"jazz, swing, oldies"
Fort Minor,25174717,1451325,e1564e98-978b-4947-8698-f6fd6f8b0181,https://www.last.fm/music/Fort+Minor,0,"Hip-Hop, rap, alternative"
3OH!3,36490815,1435282,125948ec-7f91-4d1a-8b83-accbf50fae3d,https://www.last.fm/music/3OH%213,0,"electronic, Hip-Hop, electronica"
Europe,16926752,1434050,ccfe7a3c-1a45-4984-a8d0-644549cefe61,https://www.last.fm/music/Europe,0,"hard rock, rock, 80s"
Steppenwolf,12455764,1432397,12ff8858-bfcb-4812-a8dd-7e9debf0cbee,https://www.last.fm/music/Steppenwolf,0,"classic rock, rock, hard rock"
Apocalyptica,60401936,1431992,788ad31c-bf0c-4a31-83f8-b8b130d79c76,https://www.last.fm/music/Apocalyptica,0,"symphonic metal, instrumental, metal"
Andy Williams,11897923,1431920,81e23b53-ede9-4321-a210-d29e94cf1398,https://www.last.fm/music/Andy+Williams,0,"oldies, 60s, easy listening"
Ben Harper,24713087,1428217,bab1a235-a6a5-4e67-90ca-64ac0f991a10,https://www.last.fm/music/Ben+Harper,0,"singer-songwriter, acoustic, folk"
Black Rebel Motorcycle Club,40297435,1424898,32b90c92-9978-4a07-90eb-caa4b22f4907,https://www.last.fm/music/Black+Rebel+Motorcycle+Club,0,"rock, indie rock, indie"
Keri Hilson,12902507,1419398,b76c616a-ec0d-4f0c-b986-f249c4a04d77,https://www.last.fm/music/Keri+Hilson,0,"rnb, pop, female vocalists"
Ludovico Einaudi,54153974,1413639,fa34b363-79df-434f-a5b8-be4e6898543f,https://www.last.fm/music/Ludovico+Einaudi,0,"piano, Classical, contemporary classical"
Whitesnake,25602282,1413623,5dedf5cf-a598-4408-9556-3bf3f149f3ba,https://www.last.fm/music/Whitesnake,0,"hard rock, classic rock, rock"
Basement Jaxx,24193779,1408671,28cbf94d-0700-4095-a188-37e373b069a7,https://www.last.fm/music/Basement+Jaxx,0,"electronic, dance, House"
Miike Snow,31194145,1392607,753a1564-aaef-4d39-bc68-4a8d5e328cf7,https://www.last.fm/music/Miike+Snow,0,"electronic, electropop, synth"
Seal,17172871,1390729,f053ae01-dae6-4aae-9883-e8c279fdbef4,https://www.last.fm/music/Seal,0,"soul, pop, singer-songwriter"
The Dandy Warhols,27675241,1389415,5f572b31-8fd9-45ae-9beb-358c98d839df,https://www.last.fm/music/The+Dandy+Warhols,0,"indie, rock, alternative"
The Zombies,22579391,1386218,720f4d86-cab5-463d-98bc-5d4bf5c3470e,https://www.last.fm/music/The+Zombies,0,"60s, classic rock, psychedelic"
Dashboard Confessional,40989653,1384230,50549203-9602-451c-b49f-ff031ba8635c,https://www.last.fm/music/Dashboard+Confessional,0,"emo, indie, acoustic"
The Byrds,19721672,1383254,2819834e-4e08-47b0-a2c4-b7672318e8f0,https://www.last.fm/music/The+Byrds,0,"classic rock, 60s, psychedelic"
Puddle of Mudd,19222611,1378608,ff460a70-fdf4-4aa2-b021-8a04da76d88e,https://www.last.fm/music/Puddle+of+Mudd,0,"rock, alternative rock, post-grunge"
Kelly Rowland,14295002,1369273,31bea673-d23a-4889-8da1-7cb040863268,https://www.last.fm/music/Kelly+Rowland,0,"rnb, pop, female vocalists"
Daughtry,30563336,1366163,21e3292e-dac8-4609-b57d-402f926aa41f,https://www.last.fm/music/Daughtry,0,"rock, alternative rock, alternative"
Bad Religion,82192989,1365971,149e6720-4e4a-41a4-afca-6d29083fc091,https://www.last.fm/music/Bad+Religion,0,"punk, punk rock, seen live"
Paolo Nutini,30500780,1361677,24ea074c-59cc-41c5-a5de-f68c2952965f,https://www.last.fm/music/Paolo+Nutini,0,"singer-songwriter, indie, seen live"
Alien Ant Farm,16426055,1360923,8ac6cc32-8ddf-43b1-9ac4-4b04f9053176,https://www.last.fm/music/Alien+Ant+Farm,0,"rock, alternative rock, alternative"
Kate Nash,34570886,1357785,49018fd2-95ef-4f7e-92bb-813159909314,https://www.last.fm/music/Kate+Nash,0,"female vocalists, british, indie"
Joe Cocker,16090051,1353992,32f2d6bd-c22b-42cf-a7bc-0c4b48cd2bcb,https://www.last.fm/music/Joe+Cocker,0,"classic rock, blues, rock"
Static-X,36517749,1352845,8ac9e35c-e92d-4030-99ef-ba4127b1555c,https://www.last.fm/music/Static-X,0,"industrial metal, metal, Nu Metal"
Sugababes,21943064,1350275,dfa715ac-b536-44df-af43-570d3ea3edec,https://www.last.fm/music/Sugababes,0,"pop, female vocalists, british"
Santigold,32869528,1339247,97b20fe3-0924-4a5f-9955-d0b5c5f9587f,https://www.last.fm/music/Santigold,0,"electronic, indie, seen live"
The Bravery,20952787,1337568,7e30debb-3308-49ab-a5ac-6d49319a5705,https://www.last.fm/music/The+Bravery,0,"indie, indie rock, alternative"
Ray LaMontagne,23894014,1336622,b5c4ffa2-82e1-4b72-b7f3-c60afb74b860,https://www.last.fm/music/Ray+LaMontagne,0,"folk, singer-songwriter, acoustic"
White Lies,39695821,1334158,5bdb38bd-5c5b-4d0f-8901-8bbe1d7062d8,https://www.last.fm/music/White+Lies,0,"indie rock, seen live, post-punk"
We Are Scientists,26224512,1327381,9386b36e-87f3-4716-a219-79a07a4e29cc,https://www.last.fm/music/We+Are+Scientists,0,"indie, indie rock, seen live"
Explosions in the Sky,64511798,1323112,4236acde-2ce2-441c-a3d4-38d55f1b5474,https://www.last.fm/music/Explosions+in+the+Sky,0,"post-rock, instrumental, ambient"
Mudvayne,30776855,1320479,f1c8da15-b408-4149-b863-f1cbe9971f19,https://www.last.fm/music/Mudvayne,0,"Nu Metal, metal, alternative metal"
Joni Mitchell,33821879,1319047,a6de8ef9-b1a1-4756-97aa-481bbb8a4069,https://www.last.fm/music/Joni+Mitchell,0,"folk, singer-songwriter, female vocalists"
Bat for Lashes,41118825,1317994,10000730-525f-4ed5-aaa8-92888f060f5f,https://www.last.fm/music/Bat+for+Lashes,0,"female vocalists, indie, alternative"
Ryan Adams,46185728,1317673,c80f38a6-9980-485d-997c-5c1a9cbd0d64,https://www.last.fm/music/Ryan+Adams,0,"singer-songwriter, Alt-country, rock"
Gavin DeGraw,18362108,1313148,3f2a12e9-6398-42fd-b257-2f6abd4aa5fc,https://www.last.fm/music/Gavin+DeGraw,0,"singer-songwriter, rock, pop"
Awolnation,24867164,1305491,77b29df2-056e-409e-a1b2-5e2bbfe421c4,https://www.last.fm/music/Awolnation,0,"electronic, indie, alternative"
Ingrid Michaelson,26335030,1300999,1fc494a1-9109-4081-a455-2d05bea9d2bf,https://www.last.fm/music/Ingrid+Michaelson,0,"female vocalists, singer-songwriter, indie"
Jethro Tull,36386423,1299311,ece57992-dc2e-4f67-a269-fa43626c1a3d,https://www.last.fm/music/Jethro+Tull,0,"Progressive rock, classic rock, folk rock"
Cut Copy,36869412,1295534,caaba574-dfbc-4681-8e56-19b5150897d2,https://www.last.fm/music/Cut+Copy,0,"electronic, indie, australian"
Herbie Hancock,18029073,1295346,27613b78-1b9d-4ec3-9db5-fa0743465fdd,https://www.last.fm/music/Herbie+Hancock,0,"jazz, funk, Fusion"
Rufus Wainwright,25485114,1293806,78e46ae5-9bfd-433b-be3f-19e993d67ecc,https://www.last.fm/music/Rufus+Wainwright,0,"singer-songwriter, indie, folk"
Underworld,25466514,1292233,ba2f4f3b-0293-4bc8-bb94-2f73b5207343,https://www.last.fm/music/Underworld,0,"electronic, techno, electronica"
The Kills,43793127,1291224,2c629b8c-d751-4131-b785-5690bb5e0fd7,https://www.last.fm/music/The+Kills,0,"Garage Rock, indie rock, indie"
David Gray,20218339,1281428,f7ced51c-2105-498b-a399-764ad3941759,https://www.last.fm/music/David+Gray,0,"singer-songwriter, acoustic, indie"
Danny Elfman,26106233,1271010,5b24fbab-c58f-4c37-a59d-ab232e2d98c4,https://www.last.fm/music/Danny+Elfman,0,"Soundtrack, instrumental, Classical"
UNKLE,35833922,1266778,6648391e-7890-4f6c-b939-976f215195d3,https://www.last.fm/music/UNKLE,0,"trip-hop, electronic, downtempo"
New Found Glory,42535753,1265821,6acb932e-840d-47ac-8e0d-725ad8a6e52c,https://www.last.fm/music/New+Found+Glory,0,"pop punk, seen live, punk"
